day,goal_away,goal_home,id,leagu_name,month,parent_url,player,results_away,results_home,round,team_away,team_home,time,url,year
15日,"29分 國分 将 
										37分 濱下 賢 
										40分 神田 夢実 
										72分 國分 将",,,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,4,0,第1節1,コンサドーレ札幌U-18,清水エスパルスユース,"29分 國分,37分,40分,72分 國分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m1.html,2012
15日,"36分 柴田 則幸 
										45分 木部 未嵐 
										85分 名和 太陽","17分 中村 駿介 
										23分 広瀬 陸斗",,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,3,2,第1節2,静岡学園高校,浦和レッズユース,"17分,23分,36分,45分,85分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m2.html,"2012,2002"
15日,"43分 前田 直輝 
										90+3分 楠美 圭史","3分 矢埜 翔平 
										79分 星野 秀平",,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,2,2,第1節3,東京ヴェルディユース,流通経済大学付属柏高校,"3分,79分,43分,90+3分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m3.html,2012
15日,"48分 林 雄紀 
										80分 山田 将之","30分 橋本 龍馬 
										41分 込山 雄奨",,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,2,2,第1節4,青森山田高校,鹿島アントラーズユース,"30分,41分,48分,80分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m4.html,2012
15日,48分 寺林 研人,"42分 中﨑 海渡 
										75分 中﨑 海渡",,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,1,2,第1節5,旭川実業高校,三菱養和ＳＣユース,"42分,75分,48分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m5.html,2012
21日,,"6分 高木 大輔 
										35分 高木 大輔 
										61分 中島 翔哉 
										75分 前田 直輝 
										85分 中島 翔哉 
										91分 中島 翔哉",,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,0,6,第2節6,旭川実業高校,東京ヴェルディユース,"6分,35分,61分,75分,85分,91分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m6.html,2012
21日,"78分 児玉 夏樹 
										81分 ジャーメイン 良",51分 佐藤 飛天,,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,2,1,第2節8,流通経済大学付属柏高校,清水エスパルスユース,"51分,78分,81分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m8.html,2012
21日,24分 小野 能寛,"47分 小野瀬 恵亮 
										67分 飛田 啓介",,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,1,2,第2節7,コンサドーレ札幌U-18,鹿島アントラーズユース,"47分,67分,24分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m7.html,2012
21日,"24分 広瀬 陸斗 
										90+2分 広瀬 陸斗","61分 村山 想 
										90+1分 林 雄紀",,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,2,2,第2節9,浦和レッズユース,青森山田高校,"61分,90+1分,24分,90+2分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m9.html,2012
22日,71分 横山 道一,,,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,1,0,第2節10,三菱養和ＳＣユース,静岡学園高校,71分,http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m10.html,2012
28日,,"42分 中島 翔哉 
										50分 高木 大輔 
										56分 前田 直輝 
										72分 中島 翔哉 
										79分 中野 雅臣",,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,0,5,第3節11,清水エスパルスユース,東京ヴェルディユース,"42分,50分,56分,72分,79分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m11.html,2012
28日,"6分 伊藤 翼 
										20分 木部 未嵐 
										90+2分 長谷川 拓哉",,,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,3,0,第3節12,静岡学園高校,旭川実業高校,"6分,20分,90+2分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m12.html,2012
28日,13分 室屋 成,83分 相馬 勇紀,,高円宮杯U=18サッカーリーグ2012 プレミアリーグ 2012.4.15-,04月,,,1,1,第3節13,青森山田高校,三菱養和ＳＣユース,"83分,13分",http://www.jfa.or.jp/match/matches/2012/premier_league/east/match_page/m13.html,2012
